work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,line_text,x,z,caesura_word_n,word_position,enclitic,breaks_hb_schein,dices_speaker,dices_is_speech
Hom.Hymn,1,5,6,σε,σύ,8.0,⏑,"ἄλλοι δ’ ἐν Θήβῃσιν,  ἄναξ, σε λέγουσι γενέσθαι,",107,-1.58238477785209,7,Neither,Enclitic,Yes,narrator,No
Hom.Hymn,1,5,7,λέγουσι,λέγω,8.5,⏑–⏑,"ἄλλοι δ’ ἐν Θήβῃσιν,  ἄναξ, σε λέγουσι γενέσθαι,",1,-1.93881421461496,7,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,17,5,ὄρουσεν,ὀρούω,6.5,⏑–⏑,"Νύσιον ἂμ πεδίον, τῇ ὄρουσεν ἄναξ Πολυδέγμων",1,-2.13686089073792,6,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,17,6,ἄναξ,ἄναξ,8.5,⏑–,"Νύσιον ἂμ πεδίον, τῇ ὄρουσεν ἄναξ Πολυδέγμων",2,-2.5506220603965,6,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,20,3,ἰάχησε,ἰαχέω,6.0,⏑⏑–⏑,"ἦγ’ ὀλοφυρομένην· ἰάχησε δ’ ἄρ’ ὄρθια φωνῇ,",2,-1.58771324027147,4,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,20,4,δ’,δέ,8.5,,"ἦγ’ ὀλοφυρομένην· ἰάχησε δ’ ἄρ’ ὄρθια φωνῇ,",531,-1.58769166408075,4,Postpositive,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,20,5,ἄρ’,αἴρω,8.5,⏑,"ἦγ’ ὀλοφυρομένην· ἰάχησε δ’ ἄρ’ ὄρθια φωνῇ,",18,-1.63826083360584,4,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,208,4,ἄνωγε,ἄνωγα,6.5,⏑–⏑,πίνειν οἶνον ἐρυθρόν· ἄνωγε δ’ ἄρ’ ἄλφι καὶ ὕδωρ,18,-1.19711486436139,5,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,208,5,δ’,δέ,8.5,,πίνειν οἶνον ἐρυθρόν· ἄνωγε δ’ ἄρ’ ἄλφι καὶ ὕδωρ,531,-1.58769166408075,5,Postpositive,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,208,6,ἄρ’,αἴρω,8.5,⏑,πίνειν οἶνον ἐρυθρόν· ἄνωγε δ’ ἄρ’ ἄλφι καὶ ὕδωρ,18,-1.63826083360584,5,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,248,4,σε,σύ,8.0,⏑,"τέκνον Δημοφόων, ξείνη σε πυρὶ ἔνι πολλῷ",107,-1.58238477785209,5,Neither,Enclitic,Yes,Metaneira,Yes
Hom.Hymn,2,248,5,πυρὶ,πῦρ,8.5,⏑–,"τέκνον Δημοφόων, ξείνη σε πυρὶ ἔνι πολλῷ",2,-1.92794362730759,5,Neither,Non-enclitic,Yes,Metaneira,Yes
Hom.Hymn,2,432,3,ἐβόησα,βοάω,6.0,⏑⏑–⏑,πόλλ’ ἀεκαζομένην· ἐβόησα δ’ ἄρ’ ὄρθια φωνῇ.,7,-1.22847678808207,4,Neither,Non-enclitic,Yes,Persephone,Yes
Hom.Hymn,2,432,4,δ’,δέ,8.5,,πόλλ’ ἀεκαζομένην· ἐβόησα δ’ ἄρ’ ὄρθια φωνῇ.,531,-1.58769166408075,4,Postpositive,Non-enclitic,Yes,Persephone,Yes
Hom.Hymn,2,432,5,ἄρ’,αἴρω,8.5,⏑,πόλλ’ ἀεκαζομένην· ἐβόησα δ’ ἄρ’ ὄρθια φωνῇ.,18,-1.63826083360584,4,Neither,Non-enclitic,Yes,Persephone,Yes
Hom.Hymn,2,452,3,ἔκευθε,κεύθω,6.5,⏑–⏑,ἑστήκει πανάφυλλον· ἔκευθε δ’ ἄρα κρῖ λευκὸν,6,-0.0367726593071906,4,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,452,4,δ’,δέ,8.5,,ἑστήκει πανάφυλλον· ἔκευθε δ’ ἄρα κρῖ λευκὸν,531,-1.58769166408075,4,Postpositive,Non-enclitic,Yes,narrator,No
Hom.Hymn,2,452,5,ἄρα,ἄρα,8.5,⏑–,ἑστήκει πανάφυλλον· ἔκευθε δ’ ἄρα κρῖ λευκὸν,5,-1.68733389487954,4,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,3,36,5,λῆμνος,λῆμνος,7.0,–⏑,Ἴμβρος τ’ εὐκτιμένη καὶ Λῆμνος ἀμιχθαλόεσσα,3,-1.61515615001856,6,Neither,Non-enclitic,Yes,narrator,No
Hom.Hymn,3,36,6,ἀμιχθαλόεσσα,ἀμιχθαλόεις,8.5,⏑–⏑⏑––,Ἴμβρος τ’ εὐκτιμένη καὶ Λῆμνος ἀμιχθαλόεσσα,2,,6,Neither,Non-enclitic,Yes,narrator,No
Il.,1,168,6,κε,ἄν,8.0,⏑,"ἔρχομ’ ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων.",22,-1.65598509672149,7,Neither,Enclitic,Yes,Achilles,Yes
Il.,1,168,7,κάμω,κάμνω,8.5,⏑–,"ἔρχομ’ ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων.",1,-1.74926648187689,7,Neither,Non-enclitic,Yes,Achilles,Yes
Il.,2,246,4,περ,περ,8.0,⏑,"‘Θερσῖτ’ ἀκριτόμυθε, λιγύς περ ἐὼν ἀγορητής,",10,-1.55900976499814,5,Postpositive,Enclitic,Yes,Odysseus,Yes
Il.,2,246,5,ἐὼν,εἰμί,8.5,⏑–,"‘Θερσῖτ’ ἀκριτόμυθε, λιγύς περ ἐὼν ἀγορητής,",15,-1.97674541974092,5,Neither,Non-enclitic,Yes,Odysseus,Yes
Il.,2,475,4,κε,ἄν,8.0,⏑,"ῥεῖα διακρίνωσιν ἐπεί κε νομῷ μιγέωσιν,",22,-1.65598509672149,5,Neither,Enclitic,Yes,narrator,No
Il.,2,475,5,νομῷ,νομός,8.5,⏑–,"ῥεῖα διακρίνωσιν ἐπεί κε νομῷ μιγέωσιν,",1,-1.77390068682653,5,Neither,Non-enclitic,Yes,narrator,No
Il.,3,227,4,τε,τε,8.0,⏑,ἔξοχος Ἀργείων κεφαλήν τε καὶ εὐρέας ὤμους;,324,-0.990535138544289,5,Postpositive,Enclitic,Yes,Priam,Yes
Il.,3,227,5,καὶ,καί,8.5,⏑,ἔξοχος Ἀργείων κεφαλήν τε καὶ εὐρέας ὤμους;,4,-1.59215714005528,5,Prepositive,Non-enclitic,Yes,Priam,Yes
Il.,3,381,6,ἐκάλυψε,καλύπτω,6.0,⏑⏑–⏑,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ,",27,-0.712095423590022,7,Neither,Non-enclitic,Yes,narrator,No
Il.,3,381,7,δ’,δέ,8.5,,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ,",531,-1.58769166408075,7,Postpositive,Non-enclitic,Yes,narrator,No
Il.,3,381,8,ἄρ’,αἴρω,8.5,⏑,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ,",18,-1.63826083360584,7,Neither,Non-enclitic,Yes,narrator,No
Il.,4,460,6,δ’,δέ,8.5,,"ἐν δὲ μετώπῳ πῆξε, πέρησε δ’ ἄρ’ ὀστέον εἴσω",531,-1.58769166408075,6,Postpositive,Non-enclitic,Yes,narrator,No
Il.,4,460,7,ἄρ’,αἴρω,8.5,⏑,"ἐν δὲ μετώπῳ πῆξε, πέρησε δ’ ἄρ’ ὀστέον εἴσω",18,-1.63826083360584,6,Neither,Non-enclitic,Yes,narrator,No
Il.,5,252,7,οὐδὲ,οὐδέ,7.0,–⏑,"‘μή τι φόβον δ’ ἀγόρευ’, ἐπεὶ οὐδὲ σὲ πεισέμεν οἴω.",10,-2.42774965110951,8,Neither,Non-enclitic,Yes,Diomedes,Yes
Il.,5,252,8,σὲ,σύ,8.5,⏑,"‘μή τι φόβον δ’ ἀγόρευ’, ἐπεὶ οὐδὲ σὲ πεισέμεν οἴω.",158,-1.23790631704631,8,Neither,Non-enclitic,Yes,Diomedes,Yes
Il.,5,571,6,περ,περ,8.0,⏑,Αἰνείας δ’ οὐ μεῖνε θοός περ ἐὼν πολεμιστὴς,10,-1.55900976499814,7,Postpositive,Enclitic,Yes,narrator,No
Il.,5,571,7,ἐὼν,εἰμί,8.5,⏑–,Αἰνείας δ’ οὐ μεῖνε θοός περ ἐὼν πολεμιστὴς,15,-1.97674541974092,7,Neither,Non-enclitic,Yes,narrator,No
Il.,6,2,7,ἴθυσε,ἰθύω,6.0,––⏑,πολλὰ δ’ ἄρ’ ἔνθα καὶ ἔνθ’ ἴθυσε μάχη πεδίοιο,1,-1.50737958440741,8,Neither,Non-enclitic,Yes,narrator,No
Il.,6,2,8,μάχη,μάχη,8.5,⏑–,πολλὰ δ’ ἄρ’ ἔνθα καὶ ἔνθ’ ἴθυσε μάχη πεδίοιο,1,-2.03113543153494,8,Neither,Non-enclitic,Yes,narrator,No
Il.,6,10,6,δ’,δέ,8.5,,"ἐν δὲ μετώπῳ πῆξε, πέρησε δ’ ἄρ’ ὀστέον εἴσω",531,-1.58769166408075,6,Postpositive,Non-enclitic,Yes,narrator,No
Il.,6,10,7,ἄρ’,αἴρω,8.5,⏑,"ἐν δὲ μετώπῳ πῆξε, πέρησε δ’ ἄρ’ ὀστέον εἴσω",18,-1.63826083360584,6,Neither,Non-enclitic,Yes,narrator,No
Il.,8,163,5,γυναικὸς,γυνή,6.5,⏑–⏑,νῦν δέ σ’ ἀτιμήσουσι· γυναικὸς ἄρ’ ἀντὶ τέτυξο.,75,-1.09285961030256,6,Neither,Non-enclitic,Yes,Hector,Yes
Il.,8,163,6,ἄρ’,αἴρω,8.5,⏑,νῦν δέ σ’ ἀτιμήσουσι· γυναικὸς ἄρ’ ἀντὶ τέτυξο.,18,-1.63826083360584,6,Neither,Non-enclitic,Yes,Hector,Yes
