Work,Book/poem,Lines,Breaks,Breaks/Line,"Chance of at least this many breaks, assuming random distribution"
Hom.Hymn,2,498,6,1.20%,0.009%
Od.,20,394,5,1.27%,0.027%
Theoc.,24,140,2,1.43%,1.7%
Il.,9,709,4,0.56%,1.9%
Od.,18,428,3,0.70%,2.3%
Phaen.,,"1,155",5,0.43%,2.5%
Hom.Hymn,1,21,1,4.76%,2.9%
Il.,23,897,4,0.45%,4%
Il.,10,579,3,0.52%,5%
Theoc.,26,38,1,2.63%,5.2%
Od.,17,606,3,0.50%,5.6%
Il.,21,611,3,0.49%,5.7%
Theoc.,18,58,1,1.72%,7.9%
Theoc.,23,63,1,1.59%,8.5%
Theoc.,14,74,1,1.35%,9.9%
Il.,24,804,3,0.37%,11%
Il.,11,847,3,0.35%,12%
Il.,19,424,2,0.47%,12%
Il.,16,867,3,0.35%,13%
Od.,1,444,2,0.45%,13%
Od.,12,453,2,0.44%,13%
Il.,3,461,2,0.43%,14%
Od.,5,493,2,0.41%,15%
Il.,6,529,2,0.38%,17%
Theoc.,15,162,1,0.62%,20%
Q.S.,5,666,2,0.30%,24%
Q.S.,7,737,2,0.27%,28%
Il.,17,761,2,0.26%,29%
Q.S.,3,787,2,0.25%,30%
Od.,4,847,2,0.24%,34%
Il.,2,877,2,0.23%,35%
Il.,5,909,2,0.22%,37%
Od.,6,331,1,0.30%,37%
Od.,7,347,1,0.29%,39%
Od.,21,434,1,0.23%,46%
Sh.,,479,1,0.21%,49%
Od.,22,501,1,0.20%,51%
Q.S.,11,502,1,0.20%,51%
Il.,20,503,1,0.20%,51%
Il.,22,515,1,0.19%,52%
Od.,14,533,1,0.19%,53%
Il.,4,544,1,0.18%,54%
Q.S.,9,549,1,0.18%,54%
Hom.Hymn,3,552,1,0.18%,54%
Od.,15,557,1,0.18%,54%
Il.,8,561,1,0.18%,55%
Od.,9,566,1,0.18%,55%
Od.,10,573,1,0.17%,55%
Od.,8,586,1,0.17%,56%
Q.S.,4,595,1,0.17%,57%
Od.,19,604,1,0.17%,57%
Il.,1,611,1,0.16%,58%
Q.S.,14,659,1,0.15%,61%
Il.,15,746,1,0.13%,65%
W.D.,,831,1,0.12%,69%
Theog.,,"1,042",1,0.10%,77%
Il.,7,482,0,0%,1e+02%
Il.,12,471,0,0%,1e+02%
Il.,13,837,0,0%,1e+02%
Il.,14,521,0,0%,1e+02%
Il.,18,617,0,0%,1e+02%
Od.,2,434,0,0%,1e+02%
Od.,3,497,0,0%,1e+02%
Od.,11,640,0,0%,1e+02%
Od.,13,440,0,0%,1e+02%
Od.,16,480,0,0%,1e+02%
Od.,23,371,0,0%,1e+02%
Od.,24,548,0,0%,1e+02%
Hom.Hymn,4,586,0,0%,1e+02%
Hom.Hymn,5,293,0,0%,1e+02%
Hom.Hymn,6,21,0,0%,1e+02%
Hom.Hymn,7,59,0,0%,1e+02%
Hom.Hymn,8,17,0,0%,1e+02%
Hom.Hymn,9,9,0,0%,1e+02%
Hom.Hymn,10,6,0,0%,1e+02%
Hom.Hymn,11,5,0,0%,1e+02%
Hom.Hymn,12,5,0,0%,1e+02%
Hom.Hymn,13,3,0,0%,1e+02%
Hom.Hymn,14,6,0,0%,1e+02%
Hom.Hymn,15,9,0,0%,1e+02%
Hom.Hymn,16,5,0,0%,1e+02%
Hom.Hymn,17,5,0,0%,1e+02%
Hom.Hymn,18,12,0,0%,1e+02%
Hom.Hymn,19,49,0,0%,1e+02%
Hom.Hymn,20,8,0,0%,1e+02%
Hom.Hymn,21,5,0,0%,1e+02%
Hom.Hymn,22,7,0,0%,1e+02%
Hom.Hymn,23,4,0,0%,1e+02%
Hom.Hymn,24,5,0,0%,1e+02%
Hom.Hymn,25,7,0,0%,1e+02%
Hom.Hymn,26,13,0,0%,1e+02%
Hom.Hymn,27,22,0,0%,1e+02%
Hom.Hymn,28,18,0,0%,1e+02%
Hom.Hymn,29,14,0,0%,1e+02%
Hom.Hymn,30,19,0,0%,1e+02%
Hom.Hymn,31,20,0,0%,1e+02%
Hom.Hymn,32,20,0,0%,1e+02%
Hom.Hymn,33,19,0,0%,1e+02%
Argon.,1,"1,362",0,0%,1e+02%
Argon.,2,"1,287",0,0%,1e+02%
Argon.,3,"1,406",0,0%,1e+02%
Argon.,4,"1,779",0,0%,1e+02%
Callim.Hymn,1,96,0,0%,1e+02%
Callim.Hymn,2,113,0,0%,1e+02%
Callim.Hymn,3,268,0,0%,1e+02%
Callim.Hymn,4,325,0,0%,1e+02%
Callim.Hymn,6,138,0,0%,1e+02%
Theoc.,1,151,0,0%,1e+02%
Theoc.,2,165,0,0%,1e+02%
Theoc.,3,54,0,0%,1e+02%
Theoc.,4,63,0,0%,1e+02%
Theoc.,5,149,0,0%,1e+02%
Theoc.,6,46,0,0%,1e+02%
