lemma,sedes,x,z
̓Ολυμπιιάς,6.5,1,
Ἄρης,1,2,-1.72609551706133
Ἄρης,2.5,1,-1.81232960923229
Ἄρης,3,2,-1.72609551706133
Ἄρης,4,2,-1.72609551706133
Ἄρης,4.5,17,-0.432584134496942
Ἄρης,6.5,4,-1.55362733271941
Ἄρης,7,1,-1.81232960923229
Ἄρης,10.5,32,+0.860927248067443
Ἄρτεμις,1,1,
Ἀθήνη,10.5,5,
Ἀναξώ,10.5,1,
Ἀπίδα,7,1,
Ἀπόλλων,2.5,2,+1
Ἀπόλλων,3,1,-1
Ἀπόλλων,10.5,1,-1
Ἀργεῖος,1,1,
Ἀργεῖος,3,1,
Ἀργειφόντης,9,30,
Ἀτρείδης,1,3,+0.577350269189626
Ἀτρείδης,3,1,-1.73205080756888
Ἀτρεύς,7,1,
Ἀχαιός,6.5,1,-1.73205080756888
Ἀχαιός,10.5,3,+0.577350269189626
Ἀχιλλεύς,10,1,
ᾍδης,11,1,
Ἅρπυιαι,1,2,-0.447213595499958
Ἅρπυιαι,4,1,-1.78885438199983
Ἅρπυιαι,6,3,+0.894427190999916
Ἁλοσύδνη,10,2,
Αἶσα,1,2,-1.8116994182962
Αἶσα,4,2,-1.8116994182962
Αἶσα,6,1,-1.9686182655502
Αἶσα,11,17,+0.542083290513823
Αἰακίδης,9,1,
Αἰγιαλήων,9,1,
Αἰγύπτιος,1,1,-1.4142135623731
Αἰγύπτιος,3,2,+0.707106781186547
Αἰγυπτίῃσι,9,1,
Αἰσχίνα,1,1,
Βακχεύω,3,2,
Βορέας,2,5,+0.632455532033676
Βορέας,4,5,+0.632455532033676
Βορέας,6,4,-1.58113883008419
Βρισηίς,3,1,
Δάφνιν,8,1,
Δαναοί,2,1,
Διιπετής,6.5,11,
Διόγνητος,6.5,1,
Διοτρεφής,6.5,15,+0.774596669241483
Διοτρεφής,7,9,-1.29099444873581
Ἐννοσίγαιος,3,7,-0.875534987419454
Ἐννοσίγαιος,7,1,-2.82116829279602
Ἐννοσίγαιος,9,12,+0.74582610039435
Ἐνοσίχθων,6,5,-2.09868406754955
Ἐνοσίχθων,8,9,-1.88584213377868
Ἐνοσίχθων,10,54,+0.508629621143626
Ἐνυάλιος,2.5,2,-1.4142135623731
Ἐνυάλιος,6.5,4,+0.707106781186547
Ἐρινύς,2.5,1,-4.02563496782361
Ἐρινύς,6.5,16,+0.102213387854896
Ἐρινύς,8.5,1,-4.02563496782361
Ἐρινύς,10.5,17,+0.377403278233463
Ἕκτωρ,1,1,
Ἑκάεργος,4,16,-1.06066017177982
Ἑκάεργος,8,18,+0.942809041582063
Ἑκαέργη,10,3,
Ἑρμῆς,11,1,
Ἑωσφόρος,3,1,-3.16227766016838
Ἑωσφόρος,6.5,10,+0.316227766016838
Εὐηρείδα,2,1,
Ζάκυνθος,2.5,1,
Ζέφυρος,2,4,+0.774596669241483
Ζέφυρος,4,3,-0.258198889747161
Ζέφυρος,8,1,-2.32379000772445
Ζελήνης,10.5,1,
Ζεύς,6.5,1,
Ζεύς,8,1,
Ἠλεκτρύων,9,1,
Ἡρακλέης,9,1,
Θεία,1,1,
Θεναὶ,6.5,1,
Θεσσαλὸν,3,1,
Θήβη,11,2,
Θησεύς,11,1,
Θρῄκηνδε,8,1,
Θυώνιχε,6.5,1,
Θυώνιχον,6.5,1,
Ἶρις,1,9,+1.0116467664055
Ἶρις,2,1,-1.46851949962088
Ἶρις,3,3,-0.848477933114289
Ἶρις,6,1,-1.46851949962088
Ἶρις,9,1,-1.46851949962088
Ἶρις,11,4,-0.538457149860991
Ἰδαίοιο,3,1,
Καρνειάδες,6.5,1,
Κήρ,9,1,
Κλύδων,10.5,1,
Κλυταιμνήστρη,2.5,1,
Κλῶθες,8,1,
Κνωσοῦς,11,1,
Κρόνος,8,1,
Κρότων,4.5,1,
Κρονίδα,2,1,
Κρονίων,4,1,
